Action;Боевики;action.svg
Cartoon;Мультфильмы;cartoon.svg
Documentary;Документальные;documentary.svg
Historical;Исторические;historical.svg
Mystic;Мистические;mystic.svg
Thriller;Триллеры;thriller.svg
Anime;Аниме;anime.svg
Comedy;Комедии;comedy.svg
Drama;Драмы;drama.svg
Horror;Ужасы;horror.svg
Sci-fi;Фантастические;sci-fi.svg
Western;Вестерны;western.svg
Author;Авторские;author.svg
Criminal;Криминальные;criminal.svg
Family;Семейные;family.svg
Melodrama;Мелодрамы;melodrama.svg
Short;Короткометражки;short.svg
Biography;Биографии;biography.svg
Detective;Детективы;detective.svg
Fantasy;Фэнтези;fantasy.svg
Military;Военные;military.svg
Sport;Спортивные;sport.svg
